DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_GIND$DEFAULTVIEW(1.0),14/10/25 23:00:00,Annual,Average population - total,Andorra,2016,72419,e,
ESTAT:DEMO_GIND$DEFAULTVIEW(1.0),14/10/25 23:00:00,Annual,Average population - total,Andorra,2018,75486,e,
ESTAT:DEMO_GIND$DEFAULTVIEW(1.0),14/10/25 23:00:00,Annual,Average population - total,Andorra,2019,76860,e,
ESTAT:DEMO_GIND$DEFAULTVIEW(1.0),14/10/25 23:00:00,Annual,Average population - total,Andorra,2022,80562,,
ESTAT:DEMO_GIND$DEFAULTVIEW(1.0),14/10/25 23:00:00,Annual,Average population - total,Andorra,2023,83345,,
ESTAT:DEMO_GIND$DEFAULTVIEW(1.0),14/10/25 23:00:00,Annual,Average population - total,Albania,2016,2876092,,
ESTAT:DEMO_GIND$DEFAULTVIEW(1.0),14/10/25 23:00:00,Annual,Average population - total,Albania,2017,2873458,,
ESTAT:DEMO_GIND$DEFAULTVIEW(1.0),14/10/25 23:00:00,Annual,Average population - total,Albania,2018,2866376,,
ESTAT:DEMO_GIND$DEFAULTVIEW(1.0),14/10/25 23:00:00,Annual,Average population - total,Albania,2019,2854191,,
ESTAT:DEMO_GIND$DEFAULTVIEW(1.0),14/10/25 23:00:00,Annual,Average population - total,Albania,2020,2837848,,
ESTAT:DEMO_GIND$DEFAULTVIEW(1.0),14/10/25 23:00:00,Annual,Average population - total,Albania,2021,2811667,,
ESTAT:DEMO_GIND$DEFAULTVIEW(1.0),14/10/25 23:00:00,Annual,Average population - total,Albania,2022,2777689,,
ESTAT:DEMO_GIND$DEFAULTVIEW(1.0),14/10/25 23:00:00,Annual,Average population - total,Albania,2024,2377128,,
ESTAT:DEMO_GIND$DEFAULTVIEW(1.0),14/10/25 23:00:00,Annual,Average population - total,Armenia,2016,2992364,,
ESTAT:DEMO_GIND$DEFAULTVIEW(1.0),14/10/25 23:00:00,Annual,Average population - total,Armenia,2017,2979442,,
ESTAT:DEMO_GIND$DEFAULTVIEW(1.0),14/10/25 23:00:00,Annual,Average population - total,Armenia,2018,2969001,,
