DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Net migration plus statistical adjustment,Germany,2010,130166.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Net migration plus statistical adjustment,Germany,2011,295478.0,b,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Net migration plus statistical adjustment,Germany,2012,391884.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Net migration plus statistical adjustment,Germany,2013,455473.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Net migration plus statistical adjustment,Germany,2014,583503.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Net migration plus statistical adjustment,Germany,2015,1165772.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Net migration plus statistical adjustment,Germany,2016,464730.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Net migration plus statistical adjustment,Germany,2017,418069.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Net migration plus statistical adjustment,Germany,2018,394213.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Net migration plus statistical adjustment,Germany,2019,308928.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Net migration plus statistical adjustment,Germany,2020,200748.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Net migration plus statistical adjustment,Germany,2021,310288.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Net migration plus statistical adjustment,Germany,2022,208899.0,b,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Net migration plus statistical adjustment,Germany,2023,672761.0,b,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Net migration plus statistical adjustment,Germany,2024,451736.0,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Germany,2010,1.6,,
ESTAT:DEMO_GIND(1.0),14/10/25 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Germany,2011,3.7,b,
